First Author§Year of Publication§Title§Target§Country§Central Estimate ($2018)§Unit§DOI or URL
Epstein, P.R.§2011§Full cost accounting for the life cycle of coal§Coal§USA§20.886 §US¢/kWh§10.1111/j.1749-6632.2010.05890.x
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Biomass Power§GBR§0.730 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Wind§GBR§0.214 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
Czarnowska, L.§2012§Dispersion of pollutants, environmental externalities due to a pulverized coal power plant and their effect on the cost of electricity§Coal§POL§1.003 §US¢/kWh§10.1016/j.energy.2011.08.004
Diamantidis, N.D.§1996§External cost of the biomass fuel cycle under Greek conditions§Biomass Power§GRC§0.435 §US¢/kWh§10.1016/B978-0-08-042849-9.50040-9
Ek, K.§2014§Wind farms — Where and how to place them? A choice experiment approach to measure consumer preferences for characteristics of  wind farm establishments in Sweden§Wind§SWE§42.099 §US¢/kWh§10.1016/j.ecolecon.2014.06.001
Fard, R.F.§2016§The assessment of health impacts and external costs of natural gas-fired power plant of Qom§Gas§IRN§13.572 §US¢/kWh§10.1007/s11356-016-7258-0
Fthenakis, V.§2006§Photovoltaics Energy Payback Times, Greenhouse Gas Emissions and External Costs: 2004–early 2005 Status§PV§Southern Europe§0.185 §US¢/kWh§10.1002/pip.706
Georgakellos, D.A.§2010§Impact of a possible environmental externalities internalisation on energy prices: The case of the greenhouse gases from the Greek electricity sector§Coal§GRC§3.560 §US¢/kWh§10.1016/j.eneco.2009.05.010
Georgakellos, D.A.§2010§Impact of a possible environmental externalities internalisation on energy prices: The case of the greenhouse gases from the Greek electricity sector§Gas§GRC§0.638 §US¢/kWh§10.1016/j.eneco.2009.05.010
Georgakellos, D.A.§2010§Impact of a possible environmental externalities internalisation on energy prices: The case of the greenhouse gases from the Greek electricity sector§Oil§GRC§0.650 §US¢/kWh§10.1016/j.eneco.2009.05.010
Georgakellos, D.A.§2012§Climate change external cost appraisal of electricity generation systems from a life cycle perspective: the case of Greece§Coal§GRC§3.922 §US¢/kWh§10.1016/j.jclepro.2012.03.030
Georgakellos, D.A.§2012§Climate change external cost appraisal of electricity generation systems from a life cycle perspective: the case of Greece§Oil§GRC§2.589 §US¢/kWh§10.1016/j.jclepro.2012.03.030
Georgakellos, D.A.§2012§Climate change external cost appraisal of electricity generation systems from a life cycle perspective: the case of Greece§Gas§GRC§1.520 §US¢/kWh§10.1016/j.jclepro.2012.03.030
Georgakellos, D.A.§2012§Climate change external cost appraisal of electricity generation systems from a life cycle perspective: the case of Greece§Hydro§GRC§0.008 §US¢/kWh§10.1016/j.jclepro.2012.03.030
Georgakellos, D.A.§2012§Climate change external cost appraisal of electricity generation systems from a life cycle perspective: the case of Greece§Wind§GRC§0.026 §US¢/kWh§10.1016/j.jclepro.2012.03.030
Georgakellos, D.A.§2012§Climate change external cost appraisal of electricity generation systems from a life cycle perspective: the case of Greece§PV§GRC§0.326 §US¢/kWh§10.1016/j.jclepro.2012.03.030
Georgakellos, D.A.§2012§Climate change external cost appraisal of electricity generation systems from a life cycle perspective: the case of Greece§Biomass Power§GRC§0.383 §US¢/kWh§10.1016/j.jclepro.2012.03.030
Greenstone, M.§2012§Paying Too Much for Energy? The True Costs of Our Energy Choices§Coal§USA§6.259 §US¢/kWh§10.1162/DAED_a_00143
Greenstone, M.§2012§Paying Too Much for Energy? The True Costs of Our Energy Choices§Gas§USA§1.263 §US¢/kWh§10.1162/DAED_a_00143
Greenstone, M.§2012§Paying Too Much for Energy? The True Costs of Our Energy Choices§Geothermal§USA§0.115 §US¢/kWh§10.1162/DAED_a_00143
